"id","year","unit","topic","question_text","question_image","table_headers","option_a","option_b","option_c","option_d","option_e","correct_answer","tagged"
"2015-07","2015","Our Dynamic Universe","Special Relativity","A spacecraft is travelling at a constant speed of 0.60c relative to the Moon.<br>An observer on the Moon measures the length of the moving spacecraft to be 190 m.<br><br>The length of the spacecraft as measured by an astronaut on the spacecraft is","","","120 m","152 m","238 m","297 m","300 m","C","1"
"2015-08","2015","Our Dynamic Universe","The Expanding Universe","A siren on an ambulance emits sound at a constant frequency of 750 Hz.<br>The ambulance is travelling at a constant speed of 25.0 m s⁻¹ towards a stationary observer.<br>The speed of sound in air is 340 m s⁻¹.<br><br>The frequency of the sound heard by the observer is","","","695 Hz","699 Hz","750 Hz","805 Hz","810 Hz","E","1"
"2015-09","2015","Particles and Waves","The Standard Model","The emission of beta particles in radioactive decay is evidence for the existence of","","","quarks","electrons","gluons","neutrinos","bosons","D","1"
"2015-10","2015","Particles and Waves","Forces on Charged Particles","Two parallel metal plates X and Y in a vacuum have a potential difference V across them.[c]{{IMAGE}}[/c]An electron of charge e and mass m, initially at rest, is released from plate X.<br><br>The speed of the electron when it reaches plate Y is given by","2015_Q10_Diagram.png","","$$ \frac{2eV}{m} $$","$$ \sqrt{\frac{2eV}{m}} $$","$$ \sqrt{\frac{2V}{em}} $$","$$ \frac{2V}{em} $$","$$ \frac{2mV}{e} $$","B","1"
"2015-11","2015","Particles and Waves","Forces on Charged Particles","A potential difference of 2 kV is applied across two metal plates.<br>An electron passes between the metal plates and follows the path shown.[c]{{IMAGE}}[/c]<br>A student makes the following statements about changes that could be made to allow the electron to pass between the plates and reach the screen.<br>[s]I Increasing the initial speed of the electron could allow the electron to reach the screen.<br>II Increasing the potential difference across the plates could allow the electron to reach the screen.<br>III Reversing the polarity of the plates could allow the electron to reach the screen.[/s]Which of these statements is/are correct?","2015_Q11_Diagram.png","","I only","II only","III only","I and II only","I and III only","A","1"
"2015-12","2015","Particles and Waves","Nuclear Reactions","The following statement describes a fusion reaction.<br>$${}_{1}^{2}\text{H} + {}_{1}^{2}\text{H} \rightarrow {}_{2}^{3}\text{He} + {}_{0}^{1}\text{n} + \text{energy}$$<br>The total mass of the particles before the reaction is 6.684 × 10⁻²⁷ kg.<br>The total mass of the particles after the reaction is 6.680 × 10⁻²⁷ kg.<br><br>The energy released in the reaction is","","","6.012 × 10⁻¹⁰ J","6.016 × 10⁻¹⁰ J","1.800 × 10⁻¹³ J","3.600 × 10⁻¹³ J","1.200 × 10⁻²¹ J","D","1"
"2015-13","2015","Particles and Waves","Interference","Two identical loudspeakers, L₁ and L₂, are operated at the same frequency and in phase with each other. An interference pattern is produced.[c]{{IMAGE}}[/c]At position P, which is the same distance from both loudspeakers, there is a maximum.<br>The next maximum is at position R, where L₁R = 5.6 m and L₂R = 5.3 m.<br>The speed of sound in air is 340 m s⁻¹.<br><br>The frequency of the sound emitted by the loudspeakers is","2015_Q13_Diagram.png","","8.8 × 10⁻⁴ Hz","3.1 × 10¹ Hz","1.0 × 10² Hz","1.1 × 10³ Hz","3.7 × 10³ Hz","D","1"
"2015-14","2015","Other","Uncertainties","An experiment is carried out to measure the wavelength of red light from a laser.<br>The following values for the wavelength are obtained.<br><br>[c]650 nm   640 nm   635 nm   648 nm   655 nm[/c]<br>The mean value for the wavelength and the approximate random uncertainty in the mean is","","","(645 ± 1) nm","(645 ± 4) nm","(646 ± 1) nm","(646 ± 4) nm","(3228 ± 20) nm","D","1"
"2015-15","2015","Particles and Waves","Refraction of Light","Red light is used to investigate the critical angle of two materials P and Q.[c]{{IMAGE}}[/c]A student makes the following statements.<br>[s]I Material P has a higher refractive index than material Q.<br>II The wavelength of the red light is longer inside material P than inside material Q.<br>III The red light travels at the same speed inside materials P and Q.[/s]Which of these statements is/are correct?","2015_Q15_Diagram.png","","I only","II only","III only","I and II only","I, II and III","A","1"
"2015-16","2015","Particles and Waves","Spectra","The diagram represents some electron transitions between energy levels in an atom.[c]{{IMAGE}}[/c]The radiation emitted with the shortest wavelength is produced by an electron making transition","2015_Q16_Diagram.png","","E1 to E0","E2 to E1","E3 to E2","E3 to E1","E3 to E0","E","1"
"2015-17","2015","Electricity","Monitoring and Measuring AC","The output from a signal generator is connected to the input terminals of an oscilloscope.<br>The trace observed on the oscilloscope screen, the Y-gain setting and the timebase setting are shown.[c]{{IMAGE}}[/c]The frequency of the signal shown is calculated using the","2015_Q17_Diagram.png","","timebase setting and the vertical height of the trace","timebase setting and the horizontal distance between the peaks of the trace","Y-gain setting and the vertical height of the trace","Y-gain setting and the horizontal distance between the peaks of the trace","Y-gain setting and the timebase setting","B","1"
"2015-18","2015","Electricity","Monitoring and Measuring AC","A circuit is set up as shown.[c]{{IMAGE}}[/c]The r.m.s voltage across the lamp is 12 V.<br>The power produced by the lamp is 24 W.<br><br>The peak current in the lamp is","2015_Q18_Diagram.png","","0.71 A","1.4 A","2.0 A","2.8 A","17 A","D","1"
"2015-19","2015","Electricity","Semiconductors and p-n Junctions","A student makes the following statements about energy bands in different materials.<br>[s]I In metals the highest occupied energy band is not completely full.<br>II In insulators the highest occupied energy band is full.<br>III The gap between the valence band and conduction band is smaller in semiconductors than in insulators.[/s]Which of these statements is/are correct?","","","I only","II only","I and II only","I and III only","I, II and III","E","1"
"2015-20","2015","Other","Skills","[s][/s]The upward lift force \( L \) on the wings of an aircraft is calculated using the relationship<br>$$L = \frac{1}{2}\rho v^2 A C_L$$where:<br>[s]\( \rho \) is the density of air<br>\( v \) is the speed of the wings through the air<br>\( A \) is the area of the wings<br>\( C_L \) is the coefficient of lift.[/s]The weight of a model aircraft is 80.0 N.<br>The area of the wings on the model aircraft is 3.0 m².<br>The coefficient of lift for these wings is 1.6.<br>The density of air is 1.29 kg m⁻³<br><br>The speed required for the model aircraft to maintain a level flight is","","","2.5 m s⁻¹","3.6 m s⁻¹","5.1 m s⁻¹","12.9 m s⁻¹","25.8 m s⁻¹","C","1"
